,CITY,STATE,IBGE_DU,IBGE_DU_URBAN,IBGE_POP,IBGE_15-59,IDHM,LONG,LAT,GDP,GDP_CAPITA
3962,Porto Estrela,MT,1119.0,482.0,884.0,555.0,0.599,-57.2013573,-15.33133631,55710.71,18182.35
3963,Porto Feliz,SP,14569.0,12319.0,38679.0,25724.0,0.758,-47.52459657,-23.21441227,1639061.16,31387.01
3964,Porto Ferreira,SP,15880.0,15588.0,48791.0,32514.0,0.75,-47.48140964,-21.85836251,1745288.58,31674.93
3965,Porto Firme,MG,2868.0,1470.0,4811.0,3073.0,0.634,-43.09141091,-20.66826697,86.97,7780.19
3966,Porto Franco,MA,5661.0,4449.0,16785.0,10362.0,0.684,-47.3821649,-6.354181864,499082.78,21227.63
3967,Porto Grande,AP,4112.0,2605.0,10804.0,6380.0,0.64,-51.41444882,0.712554702,315688.18,15672.35
3968,Porto Lucena,RS,1988.0,889.0,2318.0,1399.0,0.693,-55.01156205,-27.85137512,101318.95,19229.26
3969,Porto Mauá,RS,841.0,338.0,952.0,579.0,0.698,-54.67195189,-27.57863536,57646.4,22641.95
3970,Porto Murtinho,MS,3768.0,2684.0,10034.0,6167.0,0.67,-57.8884823,-21.70732456,311509.56,18668.92
3971,Porto Nacional,TO,13774.0,11791.0,42215.0,26922.0,0.74,-48.41215346,-10.70856992,1501242.66,28589.65
3972,Porto Real,RJ,4984.0,4928.0,16439.0,10939.0,0.713,-44.29690073,-22.43294842,2552615.97,137592.5
3974,Porto Rico,PR,807.0,566.0,1708.0,1104.0,0.735,-53.26796811,-22.77835156,61561.26,23586.69
3976,Porto Seguro,BA,37528.0,32325.0,103240.0,67250.0,0.68,-39.06211352,-16.44905618,2523425.43,17114.47
3977,Porto União,SC,10441.0,8837.0,28119.0,18117.0,0.79,-51.08160463,-26.2300049,613561.16,17507.81
